r[0],r[1],r[2],t[0],t[1],t[2]
0,0,0,-0.0762478,0.047196,0.995971
-0.0762478,0.047196,0.995971,0.118751,-0.0514736,0.991589
0.0425036,-0.00427759,1.98756,0.146722,-0.012359,0.989101
0.189226,-0.0166365,2.97666,0.113629,-0.0702451,0.991037
0.302854,-0.0868817,3.9677,-0.0118137,-0.0408913,0.999094
0.291041,-0.127773,4.96679,0.111336,-0.216222,0.969975
0.402377,-0.343995,5.93677,0.104773,0.0380677,0.993767
0.507149,-0.305928,6.93053,0.162055,0.0262858,0.986432
0.669204,-0.279642,7.91697,0.0598679,0.0171544,0.998059
0.729072,-0.262487,8.91502,0.362929,-0.0152387,0.931692
1.092,-0.277726,9.84672,-0.0562932,0.106736,0.992693
1.03571,-0.17099,10.8394,0.133478,-0.0873554,0.987194
1.16919,-0.258346,11.8266,0.232021,-0.0942872,0.96813
1.40121,-0.352633,12.7947,0.162216,0.0224742,0.986499
1.56342,-0.330159,13.7812,0.273059,0.13159,0.952955
1.83648,-0.198569,14.7342,0.232397,-0.153464,0.960438
2.06888,-0.352032,15.6946,0.389553,-0.013707,0.920902
2.45843,-0.365739,16.6155,0.109607,0.0979092,0.989141
2.56804,-0.26783,17.6047,0.195629,0.110587,0.974423
2.76367,-0.157243,18.5791,0.0736194,0.152651,0.985534
2.83729,-0.00459255,19.5646,0.300356,-0.0655609,0.951571
3.13764,-0.0701534,20.5162,0.201957,0.173318,0.963937
3.3396,0.103165,21.4801,0.453214,-0.0848067,0.887358
3.79281,0.0183582,22.3675,0.245116,-0.0638848,0.967387
4.03793,-0.0455266,23.3349,0.357628,-0.069222,0.931295
4.39556,-0.114749,24.2662,0.500091,-0.0580338,0.864026
4.89565,-0.172782,25.1302,0.420353,-0.0759665,0.904175
5.316,-0.248749,26.0344,0.476448,-0.0444551,0.878078
5.79245,-0.293204,26.9125,0.320816,-0.0640676,0.944972
6.11327,-0.357271,27.8574,0.418972,0.0671649,0.905511
6.53224,-0.290107,28.7629,0.481112,0.163371,0.861302
7.01335,-0.126736,29.6242,0.456749,0.121213,0.881299
7.4701,-0.0055224,30.5055,0.372936,0.235614,0.897444
7.84304,0.230091,31.403,0.67464,0.0974756,0.731683
8.51768,0.327567,32.1347,0.484817,0.0730974,0.871555
9.00249,0.400664,33.0062,0.466322,-0.034183,0.883955
9.46882,0.366481,33.8902,0.448867,-0.0332213,0.892981
9.91768,0.33326,34.7832,0.516034,-0.0339818,0.855894
10.4337,0.299278,35.639,0.718106,-0.0718967,0.69221
11.1518,0.227382,36.3313,0.623682,0.000803383,0.781677
11.7755,0.228185,37.1129,0.582453,-0.0572479,0.810846
12.358,0.170937,37.9238,0.60692,-0.0476628,0.793333
12.9649,0.123274,38.7171,0.560078,0.121553,0.819474
13.525,0.244827,39.5366,0.656708,-0.0901113,0.748742
14.1817,0.154716,40.2853,0.720412,-0.0319458,0.69281
14.9021,0.12277,40.9781,0.7111,-0.0158027,0.702913
15.6132,0.106968,41.6811,0.752538,0.0765185,0.654088
16.3657,0.183486,42.3351,0.707993,-0.072905,0.702446
17.0737,0.110581,43.0376,0.84481,0.101055,0.525436
17.9185,0.211636,43.563,0.689716,-0.0609738,0.721508
18.6082,0.150662,44.2845,0.635743,0.057767,0.769736
19.244,0.208429,45.0543,0.747897,-0.0586551,0.661219
19.9919,0.149774,45.7155,0.718503,0.123461,0.684478
20.7104,0.273234,46.4,0.810523,-0.0201854,0.585358
21.5209,0.253049,46.9853,0.65294,-0.0866865,0.752433
22.1738,0.166362,47.7378,0.839082,-0.117973,0.531059
23.0129,0.0483894,48.2688,0.749186,-0.00781418,0.662314
23.7621,0.0405752,48.9311,0.822534,-0.126085,0.554563
24.5846,-0.0855097,49.4857,0.789731,-0.0272407,0.612848
25.3744,-0.11275,50.0985,0.85509,0.0283112,0.517705
26.2295,-0.0844392,50.6162,0.608091,0.0149728,0.793726
26.8376,-0.0694664,51.41,0.774122,-0.124513,0.620671
27.6117,-0.193979,52.0306,0.817665,0.0779581,0.570391
28.4293,-0.116021,52.601,0.885461,0.07837,0.458057
29.3148,-0.0376509,53.0591,0.807163,0.0909221,0.583284
30.122,0.0532712,53.6424,0.822615,0.126577,0.55433
30.9446,0.179848,54.1967,0.911424,-0.0338335,0.410075
31.856,0.146015,54.6068,0.899258,-0.0633886,0.4328
32.7553,0.0826261,55.0396,0.915623,0.0990382,0.38965
33.6709,0.181664,55.4292,0.864214,-0.0648673,0.498925
34.5351,0.116797,55.9282,0.882098,-0.0519704,0.46819
35.4172,0.0648267,56.3963,0.823247,-0.158374,0.545145
36.2404,-0.0935473,56.9415,0.887598,-0.160089,0.431904
37.128,-0.253636,57.3734,0.932992,0.0180962,0.359441
38.061,-0.23554,57.7328,0.954976,-0.0537818,0.291769
39.016,-0.289322,58.0246,0.99049,0.0589853,0.124296
40.0065,-0.230337,58.1489,0.919209,0.0558758,0.389787
40.9257,-0.174461,58.5387,0.955329,0.0842963,0.283267
41.881,-0.0901645,58.822,0.966143,-0.0559264,0.251874
42.8472,-0.146091,59.0738,0.959049,0.0885786,0.269033
43.8062,-0.0575123,59.3429,0.939341,0.00833845,0.342884
44.7456,-0.0491739,59.6857,0.900905,-0.136694,0.411928
45.6465,-0.185868,60.0977,0.979873,-0.059696,0.190486
46.6264,-0.245564,60.2882,0.941358,-0.0638556,0.331312
47.5677,-0.309419,60.6195,0.951508,-0.0634766,0.301002
48.5192,-0.372896,60.9205,0.955899,0.0429257,0.290543
49.4751,-0.32997,61.211,0.971881,-0.108244,0.209118
50.447,-0.438214,61.4201,0.978773,-0.0580577,0.196554
51.4258,-0.496271,61.6167,0.902011,0.095746,0.420961
52.3278,-0.400525,62.0376,0.942293,0.0924011,0.321786
53.2701,-0.308124,62.3594,0.996678,-0.0136146,0.0803016
54.2668,-0.321739,62.4397,0.977976,0.0717719,0.195991
55.2447,-0.249967,62.6357,0.998104,-0.0614101,-0.00414645
56.2428,-0.311377,62.6316,0.977163,0.200795,-0.0695268
57.22,-0.110582,62.5621,0.993703,0.0308213,0.107724
58.2137,-0.079761,62.6698,0.98113,-0.175613,0.0808915
59.1948,-0.255374,62.7507,0.996483,-0.0746913,0.0379719
60.1913,-0.330065,62.7886,0.999648,0.0264227,-0.00230779
61.191,-0.303642,62.7863,0.976431,0.215599,-0.00998441
62.1674,-0.0880437,62.7763,0.99804,-0.0506008,-0.0368188
63.1654,-0.138645,62.7395,0,0,0
