stats,L,kappa,f,g,E,Tb,X,Y,Z,Xsign(Z),Zsign(X),R,R2,Rg2,Sxx,Syy,Szz,Sxy,Sxz,Syz,Sq

mean,200,4.23096,0.0573966,1.387,-17375.8,5.84089,126.301,-0.0331722,126.295,126.301,126.295,178.617,31904.2,3052.63,1526.76,0.150874,1525.5,-1.19896,1398.04,-1.26091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
std/sqrt(number of polymer),NA,NA,NA,NA,8.1713,0.256362,0.098402,0.14564,0.113111,0.098402,0.113111,0.0839025,29.9679,1.95945,2.21817,0.0299501,2.51136,1.71699,1.26383,1.73673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 qB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.785398,-0.753982,-0.722566,-0.69115,-0.659734,-0.628319,-0.596903,-0.565487,-0.534071,-0.502655,-0.471239,-0.439823,-0.408407,-0.376991,-0.345575,-0.314159,-0.282743,-0.251327,-0.219911,-0.188496,-0.15708,-0.125664,-0.0942478,-0.0628319,-0.0314159,6.93889e-17,0.0314159,0.0628319,0.0942478,0.125664,0.15708,0.188496,0.219911,0.251327,0.282743,0.314159,0.345575,0.376991,0.408407,0.439823,0.471239,0.502655,0.534071,0.565487,0.596903,0.628319,0.659734,0.69115,0.722566,0.753982,0.785398
 tts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.985324,0.986378,0.986347,0.986329,0.985802,0.985528,0.984942,0.984595,0.9839,0.983551,0.982848,0.981873,0.981483,0.98026,0.979655,0.978528,0.977663,0.976366,0.975437,0.974215,0.973059,0.971526,0.969871,0.969099,0.96712,0.965776,0.964041,0.96235,0.960692,0.958661,0.956989,0.955097,0.952838,0.950797,0.948535,0.946767,0.944674,0.942291,0.939683,0.937594,0.935435,0.932126,0.929689,0.926772,0.924821,0.922049,0.919125,0.917093,0.913445,0.91061
std_tts/sqrt(number of polymer),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.000644124,0.000459043,0.000410363,0.000499144,0.000431519,0.000482231,0.000438034,0.000482147,0.000468009,0.000454077,0.000466646,0.000487154,0.000428451,0.000488859,0.000480684,0.000482123,0.00049769,0.000493681,0.000450228,0.000606522,0.000454324,0.00043717,0.000477777,0.000517619,0.000514905,0.000503908,0.000513961,0.000459416,0.000426723,0.000534749,0.000535508,0.000505817,0.000622042,0.000479703,0.00049171,0.000507301,0.000572101,0.000535404,0.000531958,0.000536724,0.00055732,0.000570783,0.000538068,0.000584923,0.000561968,0.00057429,0.000652286,0.00053782,0.000586387,0.000572808
 r(for tts),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000111174,3.23979e-05,0.000191698,7.82782e-05,8.14448e-05,0.000188544,4.56373e-05,0.000129332,0.000314048,5.12305e-05,0.000252264,0.000244207,0.000112145,0.000451307,0.00021381,0.000291415,0.000589213,0.000286216,0.000825503,0.000755376,0.000490382,0.00159003,0.00185233,0.00260802,0.00482942,0.00578519,0.0114617,0.014662,0.0224178,0.0305947,0.0334979,0.0357734,0.0256724,0.0201323,0.0214101,0.0252702,0.0286692,0.0190247,0.0193842,0.0253158,0.0193724,0.0186056,0.0237169,0.0188154,0.0182566,0.0193462,0.0185778,0.0210616,0.0163525,0.0181533,0.0187904
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66066e-05,0.000177253,8.28318e-05,6.67054e-05,0.000207194,4.10419e-05,0.000116162,0.000260746,5.77115e-05,0.000263069,0.000213436,9.43156e-05,0.000407867,0.00018407,0.000293138,0.000488258,0.000186512,0.00064346,0.000771074,0.000395445,0.00108423,0.00121529,0.00179574,0.00344163,0.00353701,0.00779014,0.0106614,0.0155612,0.0254527,0.0294839,0.039281,0.0324741,0.0282329,0.0187703,0.0231072,0.0299404,0.0240697,0.0210245,0.022355,0.0225829,0.0208302,0.0228113,0.0207434,0.0174459,0.0227691,0.0199805,0.0180679,0.0190209,0.0182814,0.0227426,0.0185069
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000168255,9.69462e-05,5.98023e-05,0.000230759,3.89123e-05,0.000132981,0.000196036,4.35639e-05,0.000301951,0.000176215,7.39498e-05,0.000382334,0.000156354,0.000240064,0.000481044,0.00012921,0.000494378,0.00068425,0.000369489,0.000914207,0.000759708,0.00111098,0.00259683,0.00223446,0.00489344,0.00766558,0.0101985,0.0191256,0.0233326,0.0360452,0.0366079,0.0370068,0.0240255,0.0226029,0.0240762,0.0302001,0.0259806,0.0184418,0.0249692,0.0254042,0.0187573,0.0230688,0.0227185,0.0197849,0.0208638,0.0181572,0.0227121,0.0207623,0.020096,0.0187196,0.0165704
Sq2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.84809e-05,6.63172e-05,0.000229781,3.71428e-05,0.000141089,0.000183001,2.61969e-05,0.000263797,0.000192103,6.12733e-05,0.000354434,0.000143442,0.000177897,0.000490241,0.000107787,0.000412507,0.000541049,0.000282487,0.000911126,0.000550062,0.000625134,0.00191539,0.00153205,0.00305998,0.00525981,0.00658314,0.0133162,0.0170076,0.0284895,0.035516,0.0408616,0.0346139,0.0267544,0.0203728,0.0297527,0.0292755,0.0236193,0.0232488,0.0251305,0.0225339,0.0233967,0.0253282,0.0179614,0.021035,0.0245519,0.0213787,0.0214356,0.0169588,0.021347,0.0196933,0.0206709
