r[0],r[1],r[2],t[0],t[1],t[2]
0,0,0,0.649167,0.393409,0.651009
0.649167,0.393409,0.651009,0.593476,-0.304535,0.745013
1.24264,0.088874,1.39602,0.810758,0.58527,0.0114426
2.0534,0.674144,1.40746,0.795762,-0.520323,-0.309882
2.84916,0.153821,1.09758,0.968678,0.247353,-0.0218833
3.81784,0.401174,1.0757,0.773525,-0.326682,-0.543081
4.59137,0.0744923,0.532618,0.537394,0.0663828,-0.840714
5.12876,0.140875,-0.308097,0.597336,0.738162,-0.313538
5.7261,0.879037,-0.621634,0.494849,0.775579,-0.391919
6.22095,1.65462,-1.01355,0.968901,0.148918,-0.197621
7.18985,1.80353,-1.21118,0.748863,0.622566,-0.227191
7.93871,2.4261,-1.43837,0.663698,0.681161,-0.309071
8.60241,3.10726,-1.74744,0.249664,0.966348,-0.0619578
8.85207,4.07361,-1.80939,0.293392,0.955321,-0.0358203
9.14546,5.02893,-1.84522,0.744028,0.639319,0.194149
9.88949,5.66825,-1.65107,0.885948,0.453514,-0.0970649
10.7754,6.12176,-1.74813,0.822147,0.0730715,-0.564566
11.5976,6.19484,-2.3127,0.496334,0.80069,-0.335482
12.0939,6.99552,-2.64818,0.252474,0.812905,-0.524826
12.3464,7.80843,-3.17301,-0.505654,0.861838,-0.0393626
11.8407,8.67027,-3.21237,0.527329,0.844209,0.0961022
12.3681,9.51448,-3.11627,0.66929,0.737781,-0.0879244
13.0374,10.2523,-3.20419,0.923901,-0.258381,0.282218
13.9613,9.99388,-2.92197,0.726306,-0.574193,0.377865
14.6876,9.41968,-2.54411,0.76673,-0.312532,0.560757
15.4543,9.10715,-1.98335,0.379783,0.529834,0.758315
15.8341,9.63698,-1.22504,0.491012,0.729014,0.476913
16.3251,10.366,-0.748123,0.383221,0.795583,-0.469243
16.7083,11.1616,-1.21737,0.414956,0.823592,-0.386663
17.1233,11.9852,-1.60403,0.921679,0.202193,-0.331098
18.0449,12.1874,-1.93513,0.908306,-0.102715,-0.405499
18.9533,12.0847,-2.34063,0.873394,0.0423696,-0.485168
19.8266,12.127,-2.82579,0.45676,-0.0083694,-0.889551
20.2834,12.1187,-3.71534,0.582249,-0.403068,-0.706061
20.8657,11.7156,-4.42141,0.727549,-0.663669,-0.173827
21.5932,11.0519,-4.59523,0.951539,-0.277212,-0.133146
22.5447,10.7747,-4.72838,0.779369,-0.600623,-0.178427
23.3241,10.1741,-4.90681,0.990568,0.0676321,0.119167
24.3147,10.2417,-4.78764,0.865571,0.384829,-0.320458
25.1803,10.6265,-5.1081,0.623515,-0.348541,0.69982
25.8038,10.278,-4.40828,0.443762,-0.257394,0.858384
26.2475,10.0206,-3.54989,0.637535,-0.246288,0.729994
26.8851,9.77432,-2.8199,-0.172002,-0.940912,0.291719
26.7131,8.83341,-2.52818,0.220859,-0.952869,0.207994
26.9339,7.88054,-2.32019,0.903145,-0.422735,0.074994
27.8371,7.4578,-2.24519,0.608406,-0.562872,0.559479
28.4455,6.89493,-1.68571,0.497148,-0.866789,0.0389869
28.9426,6.02814,-1.64673,0.387162,-0.922007,-0.00287308
29.3298,5.10613,-1.6496,-0.0829558,-0.994699,-0.060771
29.2468,4.11143,-1.71037,-0.0139764,-0.999891,-0.00480163
29.2329,3.11154,-1.71517,0,0,0
