r[0],r[1],r[2],t[0],t[1],t[2]
0,0,0,0.68078,0.690626,0.244081
0.68078,0.690626,0.244081,0.540983,0.761925,-0.3561
1.22176,1.45255,-0.112019,0.438802,0.847481,-0.298712
1.66056,2.30003,-0.410732,0.491256,0.854472,-0.168951
2.15182,3.1545,-0.579682,0.564287,0.777618,-0.27729
2.71611,3.93212,-0.856972,-0.0967647,0.960189,-0.262055
2.61934,4.89231,-1.11903,-0.343403,0.91014,-0.231775
2.27594,5.80245,-1.3508,0.0318326,0.807461,-0.589062
2.30777,6.60991,-1.93987,-0.231137,0.804726,-0.546801
2.07664,7.41464,-2.48667,0.107729,0.97983,-0.16831
2.18437,8.39447,-2.65498,-0.5812,0.783261,-0.2207
1.60317,9.17773,-2.87568,-0.49586,0.864251,0.0848164
1.10731,10.042,-2.79086,-0.119066,0.925232,-0.360234
0.98824,10.9672,-3.15109,0.0897144,0.744693,-0.66135
1.07795,11.7119,-3.81244,-0.185049,0.817253,-0.54576
0.892905,12.5292,-4.3582,-0.328607,0.749,-0.575341
0.564298,13.2782,-4.93354,-0.872748,0.46221,-0.157075
-0.30845,13.7404,-5.09062,-0.884659,0.406902,-0.227617
-1.19311,14.1473,-5.31824,-0.874376,0.31404,-0.369925
-2.06749,14.4613,-5.68816,-0.644221,0.700229,-0.307666
-2.71171,15.1615,-5.99583,-0.572288,0.664331,-0.480782
-3.28399,15.8259,-6.47661,-0.691254,0.125836,-0.711571
-3.97525,15.9517,-7.18818,-0.768497,0.470653,-0.433472
-4.74375,16.4224,-7.62165,-0.480975,0.13937,-0.865586
-5.22472,16.5617,-8.48724,-0.646282,0.158092,-0.746543
-5.871,16.7198,-9.23378,-0.910674,-0.343413,0.229653
-6.78168,16.3764,-9.00413,-0.971798,-0.158914,-0.174228
-7.75347,16.2175,-9.17835,-0.805465,0.285257,-0.519476
-8.55894,16.5028,-9.69783,-0.45694,0.153595,-0.876136
-9.01588,16.6563,-10.574,-0.404168,0.747532,-0.527109
-9.42005,17.4039,-11.1011,0.137768,0.691755,-0.708869
-9.28228,18.0956,-11.8099,0.619865,0.543006,-0.56649
-8.66241,18.6386,-12.3764,0.672707,0.712882,-0.198154
-7.98971,19.3515,-12.5746,0.243655,0.862301,-0.443925
-7.74605,20.2138,-13.0185,0.273301,0.641821,-0.7165
-7.47275,20.8556,-13.735,0.142025,0.581418,-0.801113
-7.33072,21.4371,-14.5361,0.289365,0.685276,-0.66833
-7.04136,22.1223,-15.2045,0.321092,0.85858,-0.399676
-6.72027,22.9809,-15.6041,0.679438,0.561603,-0.472192
-6.04083,23.5425,-16.0763,0.581772,0.115011,-0.805179
